"λ_H","λ_E","θ","p_H","p_E","tr_prioH","tr_prioE"
0.2,5.0,0.038461538461538464,0.002,0.5,0.5304882780468879,0.5009235963056149
0.4,5.0,0.07407407407407407,0.002,0.5,0.5357010571957712,0.4740549037803852
0.6,5.0,0.10714285714285715,0.002,0.5,0.5320282718869126,0.44896540413838376
0.8,5.0,0.13793103448275862,0.002,0.5,0.5365882536469855,0.4192615229539086
1.0,5.0,0.16666666666666666,0.002,0.5,0.5337914648341407,0.3940832236671058
1.2,5.0,0.1935483870967742,0.002,0.5,0.533249867000532,0.37109771560913796
1.4,5.0,0.21874999999999997,0.002,0.5,0.5313330746677013,0.34543941824232755
1.6,5.0,0.24242424242424246,0.002,0.5,0.5326762692949228,0.3243555025779901
1.8,5.0,0.2647058823529412,0.002,0.5,0.5326938692245231,0.3018707925168303
2.0,5.0,0.2857142857142857,0.002,0.5,0.5305402778388888,0.28121007515969965
2.2,5.0,0.3055555555555556,0.002,0.5,0.531489074043704,0.2564565741737036
2.4,5.0,0.3243243243243243,0.002,0.5,0.5307778768884924,0.2394014423942306
2.6,5.0,0.34210526315789475,0.002,0.5,0.5264266942932229,0.2167471330114681
2.8,5.0,0.358974358974359,0.002,0.5,0.5319570721717114,0.19805120779516894
3.0,5.0,0.375,0.002,0.5,0.5335458658165368,0.17880008479966084
3.2,5.0,0.39024390243902446,0.002,0.5,0.5300770796916812,0.16065855736577048
3.4,5.0,0.4047619047619047,0.002,0.5,0.522929908280367,0.14053863784544846
3.6,5.0,0.4186046511627907,0.002,0.5,0.5256610973556106,0.12520989916040318
3.8,5.0,0.43181818181818177,0.002,0.5,0.532252270990916,0.10653237387050436
4.0,5.0,0.4444444444444444,0.002,0.5,0.5249859000564,0.0875812496750012
4.2,5.0,0.4565217391304348,0.002,0.5,0.5214955140179439,0.07227331090675629
4.4,5.0,0.46808510638297873,0.002,0.5,0.5299938800244799,0.06057015771936907
4.6,5.0,0.47916666666666663,0.002,0.5,0.5206523173907305,0.04016623933504265
4.8,5.0,0.48979591836734687,0.002,0.5,0.49555241779032905,0.027986288054847784
5.0,5.0,0.5,0.002,0.5,0.4872596509613962,0.011558353766584935
5.2,5.0,0.5098039215686275,0.002,0.5,0.34931620273518915,0.0022655909376362495
5.4,5.0,0.5192307692307693,0.002,0.5,0.011537553849784627,0.000111999552001792
5.6,5.0,0.5283018867924528,0.002,0.5,0.0,0.0
5.8,5.0,0.537037037037037,0.002,0.5,0.0,0.0
6.0,5.0,0.5454545454545454,0.002,0.5,0.0,0.0
6.2,5.0,0.5535714285714286,0.002,0.5,0.0,0.0
6.4,5.0,0.5614035087719298,0.002,0.5,0.0,0.0
6.6,5.0,0.5689655172413793,0.002,0.5,0.0,0.0
6.8,5.0,0.5762711864406779,0.002,0.5,0.0,0.0
7.0,5.0,0.5833333333333334,0.002,0.5,0.0,0.0
7.2,5.0,0.5901639344262296,0.002,0.5,0.0,0.0
7.4,5.0,0.5967741935483871,0.002,0.5,0.0,0.0
7.6,5.0,0.6031746031746031,0.002,0.5,0.0,0.0
7.8,5.0,0.609375,0.002,0.5,0.0,0.0
8.0,5.0,0.6153846153846154,0.002,0.5,0.0,0.0
8.2,5.0,0.6212121212121212,0.002,0.5,0.0,0.0
8.4,5.0,0.6268656716417911,0.002,0.5,0.0,0.0
8.6,5.0,0.6323529411764706,0.002,0.5,0.0,0.0
8.8,5.0,0.6376811594202899,0.002,0.5,0.0,0.0
9.0,5.0,0.6428571428571429,0.002,0.5,0.0,0.0
9.2,5.0,0.647887323943662,0.002,0.5,0.0,0.0
9.4,5.0,0.6527777777777778,0.002,0.5,0.0,0.0
9.6,5.0,0.6575342465753424,0.002,0.5,0.0,0.0
9.8,5.0,0.6621621621621622,0.002,0.5,0.0,0.0
10.0,5.0,0.6666666666666666,0.002,0.5,0.0,0.0
10.2,5.0,0.6710526315789473,0.002,0.5,0.0,0.0
10.4,5.0,0.6753246753246753,0.002,0.5,0.0,0.0
10.6,5.0,0.6794871794871795,0.002,0.5,0.0,0.0
10.8,5.0,0.6835443037974683,0.002,0.5,0.0,0.0
11.0,5.0,0.6875,0.002,0.5,0.0,0.0
11.2,5.0,0.691358024691358,0.002,0.5,0.0,0.0
11.4,5.0,0.6951219512195123,0.002,0.5,0.0,0.0
11.6,5.0,0.6987951807228915,0.002,0.5,0.0,0.0
11.8,5.0,0.7023809523809524,0.002,0.5,0.0,0.0
12.0,5.0,0.7058823529411765,0.002,0.5,0.0,0.0
12.2,5.0,0.7093023255813954,0.002,0.5,0.0,0.0
12.4,5.0,0.7126436781609197,0.002,0.5,0.0,0.0
12.6,5.0,0.7159090909090908,0.002,0.5,0.0,0.0
12.8,5.0,0.7191011235955056,0.002,0.5,0.0,0.0
13.0,5.0,0.7222222222222222,0.002,0.5,0.0,0.0
13.2,5.0,0.7252747252747253,0.002,0.5,0.0,0.0
13.4,5.0,0.7282608695652175,0.002,0.5,0.0,0.0
13.6,5.0,0.7311827956989246,0.002,0.5,0.0,0.0
13.8,5.0,0.7340425531914894,0.002,0.5,0.0,0.0
14.0,5.0,0.7368421052631579,0.002,0.5,0.0,0.0
14.2,5.0,0.7395833333333334,0.002,0.5,0.0,0.0
14.4,5.0,0.7422680412371134,0.002,0.5,0.0,0.0
14.6,5.0,0.7448979591836734,0.002,0.5,0.0,0.0
14.8,5.0,0.7474747474747475,0.002,0.5,0.0,0.0
