"λ_H","λ_E","θ","p_H","p_E","tr_chains_d1","tr_chains_d10","tr_chains_d50","tr_chains_d100"
0.5,2.0,0.2,0.02,0.5,21.291708331666733,17.66321347146114,7.717611295548178,2.656933722651094
1.0,2.0,0.3333333333333333,0.02,0.5,19.553097876084955,15.977880884764609,6.622255109795608,2.3090276388944444
1.5,2.0,0.42857142857142855,0.02,0.5,18.40145060864232,14.15308720984494,5.814807407703692,1.8935775902297243
2.0,2.0,0.5,0.02,0.5,16.560517579296828,12.95266189352426,4.893524259029639,1.611435542578297
2.5,2.0,0.5555555555555556,0.02,0.5,15.88078876844926,12.001055957761691,4.578520859165633,1.5364825406983718
3.0,2.0,0.6,0.02,0.5,14.871991786995187,11.255363118808583,4.14888737783822,1.330546778128875
3.5,2.0,0.6363636363636364,0.02,0.5,14.274800436553965,10.540241247492958,3.7610267017890715,1.2099630300502264
4.0,2.0,0.6666666666666666,0.02,0.5,13.525588976440943,9.743140274389024,3.515579376824927,1.1456041758329667
4.5,2.0,0.6923076923076923,0.02,0.5,12.84384180188348,9.403694963312578,3.134647947415437,1.0190614597638317
5.0,2.0,0.7142857142857143,0.02,0.5,12.05822967081317,8.943522259109635,2.9963441462341507,0.9995360185592577
5.5,2.0,0.7333333333333333,0.02,0.5,11.687307053172418,8.501172680365512,2.9287192148677694,0.9760773205435421
6.0,2.0,0.75,0.02,0.5,11.163160140261057,7.943702251909923,2.683479327493567,0.8909243630254788
6.5,2.0,0.7647058823529411,0.02,0.5,10.802786350084459,7.677859039484574,2.589884096943815,0.8427170605483474
7.0,2.0,0.7777777777777778,0.02,0.5,10.644831349603159,7.280948762049518,2.303839275000428,0.8078248298639483
7.5,2.0,0.7894736842105263,0.02,0.5,9.903385197925417,6.981571403810514,2.2391850992626963,0.7058011012892819
8.0,2.0,0.8,0.02,0.5,9.901653933842645,6.648134074637015,2.1518189272429105,0.6893774249030039
8.5,2.0,0.8095238095238095,0.02,0.5,9.516842855697536,6.490832131420625,2.063065712665611,0.663182884449328
9.0,2.0,0.8181818181818182,0.02,0.5,9.107951237506056,6.217729068615033,1.961703754072059,0.6240728148651831
9.5,2.0,0.8260869565217391,0.02,0.5,8.970403289131593,6.072637094516221,1.8756597104536863,0.607137819750368
